name,position,recency_weighted_fantasy_points,recency_weighted_targets,recency_weighted_carries,recency_weighted_rec_yards,recency_weighted_rush_yards,recent_trend_pct,momentum_score_2024vs2023,consistency_score,historical_seasons,total_data_weight,projected_points,fantasy_points_ppr,adp_rank,recency_score
Ja'Marr Chase,WR,15.5,,,,,0,0,0.1,1,4.0,259.2,0,1.0,10.799999999999999
Bijan Robinson,RB,134.3,,,,,0,0,0.1,1,4.0,278.4,0,2.0,82.08
Saquon Barkley,RB,139.6,,,,,0,0,0.1,1,4.0,277.6,0,3.0,85.25999999999999
Justin Jefferson,WR,28.4,,,,,0,0,0.1,1,4.0,256.8,0,4.0,18.54
Jahmyr Gibbs,RB,74.1,,,,,0,0,0.1,1,4.0,276.0,0,5.0,45.959999999999994
CeeDee Lamb,WR,97.9,,,,,0,0,0.1,1,4.0,255.2,0,6.0,60.24
Puka Nacua,WR,35.4,,,,,0,0,0.1,1,4.0,254.4,0,7.0,22.74
Amon-Ra St. Brown,WR,45.6,,,,,0,0,0.1,1,4.0,253.6,0,8.0,28.86
Ashton Jeanty,RB,20.45,,,,,0,0,0.1,2,8.0,272.8,0,9.0,13.77
Christian McCaffrey,RB,135.9,,,,,0,0,0.1,1,4.0,272.0,0,10.0,83.04
Malik Nabers,WR,88.0,,,,,0,0,0.1,1,4.0,251.2,0,11.0,54.3
Derrick Henry,RB,314.5,15.0,377.0,78.0,1921.0,0,0,0.1,1,4.0,270.4,0,12.0,190.2
De'Von Achane,RB,53.3,,,,,0,0,0.1,1,4.0,269.6,0,13.0,33.48
Nico Collins,WR,32.9,,,,,0,0,0.1,1,4.0,248.8,0,14.0,21.24
Brian Thomas Jr.,WR,87.0,,,,,0,0,0.1,1,4.0,248.0,0,15.0,53.699999999999996
Josh Jacobs,RB,131.6,,,,,0,0,0.1,1,4.0,267.2,0,16.0,80.46
A.J. Brown,WR,63.1,,,,,0,0,0.1,1,4.0,246.4,0,17.0,39.36
Brock Bowers,TE,36.0,,,,,0,0,0.1,1,4.0,165.6,0,18.0,23.099999999999998
Drake London,WR,38.3,,,,,0,0,0.1,1,4.0,244.8,0,19.0,24.479999999999997
Jonathan Taylor,RB,228.7,31.0,303.0,136.0,1431.0,0,0,0.1,1,4.0,264.0,0,20.0,138.72
Lamar Jackson,QB,433.7,0.0,148.0,0.0,915.0,0,0,0.1,1,4.0,333.2,0,21.0,261.71999999999997
Josh Allen,QB,120.9,,,,,0,0,0.1,1,4.0,332.4,0,22.0,74.04
Bucky Irving,RB,42.2,,,,,0,0,0.1,1,4.0,261.6,0,23.0,26.82
Kyren Williams,RB,38.9,,,,,0,0,0.1,1,4.0,260.8,0,24.0,24.84
Ladd McConkey,WR,57.7,,,,,0,0,0.1,1,4.0,240.0,0,25.0,36.12
Trey McBride,TE,66.8,,,,,0,0,0.1,1,4.0,159.2,0,26.0,41.58
Chase Brown,RB,123.4,,,,,0,0,0.1,1,4.0,258.4,0,27.0,75.54
Tyreek Hill,WR,137.2,123.0,8.0,959.0,53.0,0,0,0.1,1,4.0,237.6,0,28.0,83.82
Tee Higgins,WR,91.6,,,,,0,0,0.1,1,4.0,236.8,0,29.0,56.459999999999994
James Cook,RB,109.8,,,,,0,0,0.1,1,4.0,256.0,0,30.0,67.38
Jayden Daniels,QB,161.0,,,,,0,0,0.1,1,4.0,325.2,0,31.0,98.1
Breece Hall,RB,120.3,,,,,0,0,0.1,1,4.0,254.4,0,32.0,73.67999999999999
Jaxon Smith-Njigba,WR,53.8,,,,,0,0,0.1,1,4.0,233.6,0,33.0,33.779999999999994
Garrett Wilson,WR,89.1,,,,,0,0,0.1,1,4.0,232.8,0,34.0,54.959999999999994
Terry McLaurin,WR,55.3,,,,,0,0,0.1,1,4.0,232.0,0,35.0,34.68
Davante Adams,WR,75.8,,,,,0,0,0.1,1,4.0,231.2,0,36.0,46.98
George Kittle,TE,83.3,,,,,0,0,0.1,1,4.0,150.4,0,37.0,51.48
Joe Burrow,QB,169.4,,,,,0,0,0.1,1,4.0,319.6,0,38.0,103.14
Jalen Hurts,QB,172.3,,,,,0,0,0.1,1,4.0,318.8,0,39.0,104.88000000000001
Alvin Kamara,RB,108.7,,,,,0,0,0.1,1,4.0,248.0,0,40.0,66.72
Marvin Harrison Jr.,WR,93.0,,,,,0,0,0.1,1,4.0,227.2,0,41.0,57.3
Kenneth Walker III,RB,36.0,,,,,0,0,0.1,1,4.0,246.4,0,42.0,23.099999999999998
Mike Evans,WR,36.6,,,,,0,0,0.1,1,4.0,225.6,0,43.0,23.46
Rashee Rice,WR,56.8,,,,,0,0,0.1,1,4.0,224.8,0,44.0,35.58
Omarion Hampton,RB,21.3,,,,,0,0,0.1,2,8.0,244.0,0,45.0,14.28
Chuba Hubbard,RB,142.1,,,,,0,0,0.1,1,4.0,243.2,0,46.0,86.75999999999999
Joe Mixon,RB,91.3,,,,,0,0,0.1,1,4.0,242.4,0,47.0,56.279999999999994
DJ Moore,WR,112.0,,,,,0,0,0.1,1,4.0,221.6,0,48.0,68.7
James Conner,RB,78.2,,,,,0,0,0.1,1,4.0,240.8,0,49.0,48.42
DK Metcalf,WR,113.8,,,,,0,0,0.1,1,4.0,220.0,0,50.0,69.78
Sam LaPorta,TE,33.6,,,,,0,0,0.1,1,4.0,139.2,0,51.0,21.66
Courtland Sutton,WR,116.8,,,,,0,0,0.1,1,4.0,218.4,0,52.0,71.58
Patrick Mahomes II,QB,307.6,0.0,0.0,0.0,0.0,0,0,0.1,0,0.0,307.6,0,53.0,186.06
DeVonta Smith,WR,112.4,,,,,0,0,0.1,1,4.0,216.8,0,54.0,68.94
Xavier Worthy,WR,105.0,,,,,0,0,0.1,1,4.0,216.0,0,55.0,64.5
David Montgomery,RB,20.5,,,,,0,0,0.1,1,4.0,235.2,0,56.0,13.799999999999999
D'Andre Swift,RB,50.0,,,,,0,0,0.1,1,4.0,234.4,0,57.0,31.5
RJ Harvey,RB,70.05,,,,,0,0,0.1,2,8.0,233.6,0,58.0,43.529999999999994
Zay Flowers,WR,30.1,,,,,0,0,0.1,1,4.0,212.8,0,59.0,19.56
Travis Hunter,WR,22.2,,,,,0,0,0.1,2,8.0,212.0,0,60.0,14.819999999999999
Jameson Williams,WR,36.9,,,,,0,0,0.1,1,4.0,211.2,0,61.0,23.639999999999997
TreVeyon Henderson,RB,14.15,,,,,0,0,0.1,2,8.0,230.4,0,62.0,9.99
T.J. Hockenson,TE,33.8,,,,,0,0,0.1,1,4.0,129.6,0,63.0,21.779999999999998
Travis Kelce,TE,197.3,106.0,0.0,823.0,0.0,0,0,0.1,1,4.0,128.8,0,64.0,119.88
Aaron Jones Sr.,RB,22.2,,,,,0,0,0.1,1,4.0,228.0,0,65.0,14.819999999999999
Isiah Pacheco,RB,101.9,,,,,0,0,0.1,1,4.0,227.2,0,66.0,62.64
Baker Mayfield,QB,111.3,,,,,0,0,0.1,1,4.0,296.4,0,67.0,68.28
George Pickens,WR,59.9,,,,,0,0,0.1,1,4.0,205.6,0,68.0,37.44
Tetairoa McMillan,WR,12.9,,,,,0,0,0.1,2,8.0,204.8,0,69.0,9.24
Calvin Ridley,WR,46.0,,,,,0,0,0.1,1,4.0,204.0,0,70.0,29.099999999999998
Kaleb Johnson,RB,68.25,,,,,0,0,0.1,2,8.0,223.2,0,71.0,42.449999999999996
Tony Pollard,RB,135.7,,,,,0,0,0.1,1,4.0,222.4,0,72.0,82.91999999999999
Jerry Jeudy,WR,61.8,,,,,0,0,0.1,1,4.0,201.6,0,73.0,38.58
Jaylen Waddle,WR,107.7,,,,,0,0,0.1,1,4.0,200.8,0,74.0,66.12
Chris Godwin,WR,62.7,,,,,0,0,0.1,1,4.0,200.0,0,75.0,39.12
Bo Nix,QB,76.2,,,,,0,0,0.1,1,4.0,289.2,0,76.0,47.22
Mark Andrews,TE,12.0,,,,,0,0,0.1,1,4.0,118.4,0,77.0,8.7
Chris Olave,WR,40.2,,,,,0,0,0.1,1,4.0,197.6,0,78.0,25.62
Jordan Addison,WR,49.0,,,,,0,0,0.1,1,4.0,196.8,0,79.0,30.9
Quinshon Judkins,RB,49.65,,,,,0,0,0.1,2,8.0,216.0,0,80.0,31.29
Rome Odunze,WR,75.9,,,,,0,0,0.1,1,4.0,195.2,0,81.0,47.04
Brian Robinson Jr.,RB,112.8,,,,,0,0,0.1,1,4.0,214.4,0,82.0,69.17999999999999
Evan Engram,TE,63.8,,,,,0,0,0.1,1,4.0,113.6,0,83.0,39.779999999999994
Deebo Samuel Sr.,WR,49.7,,,,,0,0,0.1,1,4.0,192.8,0,84.0,31.32
David Njoku,TE,17.8,,,,,0,0,0.1,1,4.0,112.0,0,85.0,12.18
Tyrone Tracy Jr.,RB,65.0,,,,,0,0,0.1,1,4.0,211.2,0,86.0,40.5
Cooper Kupp,WR,190.0,113.0,2.0,710.0,28.0,0,0,0.1,1,4.0,190.4,0,87.0,115.5
Kyler Murray,QB,152.3,,,,,0,0,0.1,1,4.0,279.6,0,88.0,92.88000000000001
Stefon Diggs,WR,35.8,,,,,0,0,0.1,1,4.0,188.8,0,89.0,22.979999999999997
Khalil Shakir,WR,49.6,,,,,0,0,0.1,1,4.0,188.0,0,90.0,31.259999999999998
Cam Skattebo,RB,36.75,,,,,0,0,0.1,2,8.0,207.2,0,91.0,23.55
Jaylen Warren,RB,140.5,,,,,0,0,0.1,1,4.0,206.4,0,92.0,85.8
Jauan Jennings,WR,62.2,,,,,0,0,0.1,1,4.0,185.6,0,93.0,38.82
Jakobi Meyers,WR,25.4,,,,,0,0,0.1,1,4.0,184.8,0,94.0,16.74
Travis Etienne Jr.,RB,100.5,,,,,0,0,0.1,1,4.0,204.0,0,95.0,61.8
Matthew Golden,WR,19.8,,,,,0,0,0.1,2,8.0,183.2,0,96.0,13.38
Javonte Williams,RB,120.3,,,,,0,0,0.1,1,4.0,202.4,0,97.0,73.67999999999999
Ricky Pearsall,WR,73.2,,,,,0,0,0.1,1,4.0,181.6,0,98.0,45.42
Justin Fields,QB,86.3,,,,,0,0,0.1,1,4.0,270.8,0,99.0,53.279999999999994
Jayden Reed,WR,64.0,,,,,0,0,0.1,1,4.0,180.0,0,100.0,39.9
